UNIQUE_ID,Long,Lat,DATE,MOVE_CLASS_x,maxdewpti,maxhumidity,maxtempi,maxwspdi,meandewpti,meantempi,meanwdird,meanwindspdi,mindewpti,minhumidity,mintempi,minwspdi,precipi,MAP_UNIT_L,MAP_UNIT_N,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,G_ROCK_TYP,nlcd_2006_,Slope
LS_656,-122.7190693,43.33686146,9/10/08 0:00,Landslide,49,86,82,16,46,66,8,4,43,24,49,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,23.39957
LS_658,-122.7169053,43.33650619,9/10/08 0:00,Landslide,49,86,82,16,46,66,8,4,43,24,49,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,24.57991
LS_660,-122.7083072,43.33359194,9/10/08 0:00,Landslide,49,86,82,16,46,66,8,4,43,24,49,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,21.48477
LS_661,-122.708089,43.33340345,9/10/08 0:00,Fill Failure,49,86,82,16,46,66,8,4,43,24,49,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,21.48477
LS_667,-122.6951028,43.32414345,9/10/08 0:00,Landslide,49,86,82,16,46,66,8,4,43,24,49,0,0,Tlb,Little Butte Volcanic Series; basaltic andesite and olivine basalt flows,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mafic composition lithologies,0,11.20455
LS_668,-122.6943172,43.32145922,9/10/08 0:00,Landslide,49,86,82,16,46,66,8,4,43,24,49,0,0,Tlb,Little Butte Volcanic Series; basaltic andesite and olivine basalt flows,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mafic composition lithologies,0,9.59671
LS_669,-122.6937893,43.32033994,9/10/08 0:00,Landslide,49,86,82,16,46,66,8,4,43,24,49,0,0,Tlb,Little Butte Volcanic Series; basaltic andesite and olivine basalt flows,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mafic composition lithologies,0,7.69477
LS_672,-122.6815766,43.31006391,9/10/08 0:00,Landslide,49,86,82,16,46,66,8,4,43,24,49,0,0,Tlb,Little Butte Volcanic Series; basaltic andesite and olivine basalt flows,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mafic composition lithologies,0,17.11986
LS_679,-122.6610137,43.30041946,9/11/08 0:00,Landslide,47,77,96,13,42,73,3,2,35,13,50,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,31.59751
LS_683,-122.6433947,43.2975672,9/11/08 0:00,Fill Failure,47,77,96,13,42,73,3,2,35,13,50,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,19.34351
LS_684,-122.6370286,43.29744941,9/11/08 0:00,Landslide,47,77,96,13,42,73,3,2,35,13,50,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,23.59101
LS_685,-122.6360035,43.29676192,9/11/08 0:00,Fill Failure,47,77,96,13,42,73,3,2,35,13,50,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,18.46206
LS_687,-122.6315089,43.29518758,9/11/08 0:00,Landslide,47,77,96,13,42,73,3,2,35,13,50,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,42.03378
LS_691,-122.6243476,43.29476798,9/11/08 0:00,Landslide,47,77,96,13,42,73,3,2,35,13,50,0,0,Tg,"Granodiorite, quartz monzonite, quartz diorite, and diorite; stocks, pipes, and dikes",intrusive rocks,Eocene/Miocene,Little Butte Volcanics,No data,No data,intermediate composition lithologies,0,18.73042
LS_692,-122.6219367,43.29412104,9/11/08 0:00,Debris Flow,47,77,96,13,42,73,3,2,35,13,50,0,0,Tg,"Granodiorite, quartz monzonite, quartz diorite, and diorite; stocks, pipes, and dikes",intrusive rocks,Eocene/Miocene,Little Butte Volcanics,No data,No data,intermediate composition lithologies,0,13.06076
LS_701,-122.5276883,43.30261423,10/8/08 0:00,Landslide,42,89,64,18,39,53,360,5,31,36,42,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,7.96992
LS_702,-122.5258377,43.30388958,10/8/08 0:00,Fill Failure,42,89,64,18,39,53,360,5,31,36,42,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,10.26021
LS_704,-122.5135818,43.30453196,10/8/08 0:00,Debris Flow,42,89,64,18,39,53,360,5,31,36,42,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,17.06556
LS_705,-122.5085868,43.30559323,10/8/08 0:00,Landslide,42,89,64,18,39,53,360,5,31,36,42,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,14.56725
LS_706,-122.5076909,43.30560036,10/8/08 0:00,Landslide,42,89,64,18,39,53,360,5,31,36,42,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,1.30875
LS_707,-122.503492,43.30389637,10/8/08 0:00,Fill Failure,42,89,64,18,39,53,360,5,31,36,42,0,0,QTv,"Volcanic rocks of the High Cascade Range and Boring Lava, undivided",volcanic rocks,Miocene,Late Western Cascade Volcanics,No data,No data,basalt,0,13.15888
LS_708,-122.5019518,43.30289598,10/8/08 0:00,Fill Failure,42,89,64,18,39,53,360,5,31,36,42,0,0,QTv,"Volcanic rocks of the High Cascade Range and Boring Lava, undivided",volcanic rocks,Miocene,Late Western Cascade Volcanics,No data,No data,basalt,0,16.1712
LS_710,-122.4975045,43.301362,10/8/08 0:00,Fill Failure,42,89,64,18,39,53,360,5,31,36,42,0,0,Tld,"Little Butte Volcanics, dacite",volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,dacite,0,6.51662
LS_711,-122.4962468,43.30066062,10/8/08 0:00,Landslide,42,89,64,18,39,53,360,5,31,36,42,0,0,Tld,"Little Butte Volcanics, dacite",volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,dacite,0,22.4313
LS_712,-122.4956758,43.30067767,10/8/08 0:00,Fill Failure,42,89,64,18,39,53,360,5,31,36,42,0,0,Tld,"Little Butte Volcanics, dacite",volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,dacite,0,3.89658
LS_713,-122.4932598,43.29963198,10/8/08 0:00,Fill Failure,42,89,64,18,39,53,360,5,31,36,42,0,0,Tld,"Little Butte Volcanics, dacite",volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,dacite,0,13.30949
LS_714,-122.4889256,43.29708418,10/7/08 0:00,Landslide,56,93,67,20,49,59,3,4,38,37,51,0,0.22,Tlt,"Little Butte Volcanics, tuffaceous volcaniclastic rocks",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,4.61789
LS_715,-122.4887283,43.29695162,10/7/08 0:00,Landslide,56,93,67,20,49,59,3,4,38,37,51,0,0.22,Tlt,"Little Butte Volcanics, tuffaceous volcaniclastic rocks",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,6.50944
LS_716,-122.4857242,43.29625455,10/7/08 0:00,Fill Failure,56,93,67,20,49,59,3,4,38,37,51,0,0.22,Tlt,"Little Butte Volcanics, tuffaceous volcaniclastic rocks",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,25.18337
LS_717,-122.4777043,43.2940596,10/7/08 0:00,Fill Failure,56,93,67,20,49,59,3,4,38,37,51,0,0.22,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,18.02103
LS_718,-122.4712504,43.28651008,10/7/08 0:00,Landslide,56,93,67,20,49,59,3,4,38,37,51,0,0.22,Tlt,"Little Butte Volcanics, tuffaceous volcaniclastic rocks",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,25.05555
LS_719,-122.4680505,43.28275219,10/7/08 0:00,Fill Failure,56,93,67,20,49,59,3,4,38,37,51,0,0.22,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,31.233
LS_720,-122.4596848,43.2774775,10/7/08 0:00,Fill Failure,56,93,67,20,49,59,3,4,38,37,51,0,0.22,Tlt,"Little Butte Volcanics, tuffaceous volcaniclastic rocks",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,20.47866
LS_721,-122.4576647,43.27657633,10/7/08 0:00,Landslide,56,93,67,20,49,59,3,4,38,37,51,0,0.22,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,22.68371
LS_722,-122.4566395,43.27610108,10/7/08 0:00,Landslide,56,93,67,20,49,59,3,4,38,37,51,0,0.22,Tlt,"Little Butte Volcanics, tuffaceous volcaniclastic rocks",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,23.67863
LS_723,-122.4495412,43.27256985,10/7/08 0:00,Fill Failure,56,93,67,20,49,59,3,4,38,37,51,0,0.22,Tlt,"Little Butte Volcanics, tuffaceous volcaniclastic rocks",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,21.07577
LS_724,-122.4489973,43.26886223,10/7/08 0:00,Fill Failure,44,82,60,24,34,46,297,9,27,28,31,0,0,Tlt,"Little Butte Volcanics, tuffaceous volcaniclastic rocks",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,28.73601
LS_726,-122.4485048,43.26524115,10/7/08 0:00,Fill Failure,44,82,60,24,34,46,297,9,27,28,31,0,0,Tlt,"Little Butte Volcanics, tuffaceous volcaniclastic rocks",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,12.91371
LS_727,-122.4480037,43.26449745,10/7/08 0:00,Fill Failure,44,82,60,24,34,46,297,9,27,28,31,0,0,Tlt,"Little Butte Volcanics, tuffaceous volcaniclastic rocks",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,4.77853
LS_728,-122.4393593,43.26356635,10/7/08 0:00,Fill Failure,44,82,60,24,34,46,297,9,27,28,31,0,0,Qaf,Ash-flow deposits,volcaniclastic rocks,Quaternary,Late High Cascade Volcanics,Mazama Volcano,Mazama Ash,ashflow tuff,0,27.34147
LS_729,-122.4363545,43.26271157,10/7/08 0:00,Fill Failure,44,82,60,24,34,46,297,9,27,28,31,0,0,Tlt,"Little Butte Volcanics, tuffaceous volcaniclastic rocks",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,23.70562
LS_731,-122.4329797,43.26214192,10/7/08 0:00,Fill Failure,44,82,60,24,34,46,297,9,27,28,31,0,0,Tlt,"Little Butte Volcanics, tuffaceous volcaniclastic rocks",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,34.84427
LS_732,-122.4314749,43.26159739,10/7/08 0:00,Fill Failure,44,82,60,24,34,46,297,9,27,28,31,0,0,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,17.6348
LS_733,-122.4290928,43.26130873,10/7/08 0:00,Fill Failure,44,82,60,24,34,46,297,9,27,28,31,0,0,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,8.36131
LS_735,-122.4208166,43.26116956,8/20/08 0:00,Landslide,54,67,76,30,51,69,211,15,50,41,62,5,T,Qaf,Ash-flow deposits,volcaniclastic rocks,Quaternary,Late High Cascade Volcanics,Mazama Volcano,Mazama Ash,ashflow tuff,0,12.03682
LS_736,-122.4200156,43.26110903,8/20/08 0:00,Landslide,54,67,76,30,51,69,211,15,50,41,62,5,T,Qaf,Ash-flow deposits,volcaniclastic rocks,Quaternary,Late High Cascade Volcanics,Mazama Volcano,Mazama Ash,ashflow tuff,0,13.70188
LS_737,-122.4191231,43.2612354,8/20/08 0:00,Landslide,54,67,76,30,51,69,211,15,50,41,62,5,T,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,16.02506
LS_738,-122.4176786,43.26084159,8/20/08 0:00,Landslide,54,67,76,30,51,69,211,15,50,41,62,5,T,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,18.45759
LS_739,-122.4173502,43.26078811,8/20/08 0:00,Fill Failure,54,67,76,30,51,69,211,15,50,41,62,5,T,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,17.95159
LS_740,-122.4160464,43.25962915,8/20/08 0:00,Landslide,60,76,83,18,56,74,300,5,52,42,64,0,0.01,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,15.54619
LS_741,-122.4140451,43.25760057,8/19/08 0:00,Landslide,53,83,81,15,51,69,319,4,48,35,56,0,T,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,16.1712
LS_742,-122.4121958,43.25593215,8/19/08 0:00,Landslide,53,83,81,15,51,69,319,4,48,35,56,0,T,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,18.09243
LS_743,-122.4110195,43.25534074,8/19/08 0:00,Landslide,53,83,81,15,51,69,319,4,48,35,56,0,T,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,18.02103
LS_744,-122.3857141,43.24676032,8/19/08 0:00,Landslide,53,83,81,15,51,69,319,4,48,35,56,0,T,QTbc,Intracanyon basalts,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basalt,0,13.0913
LS_745,-122.3781335,43.24289631,8/19/08 0:00,Fill Failure,53,83,81,15,51,69,319,4,48,35,56,0,T,Qp,Mazama pumice,volcaniclastic rocks,Quaternary,Late High Cascade Volcanics,Mazama Volcano,Mazama Ash,ashflow tuff,0,22.76639
LS_749,-122.3689414,43.24084957,8/19/08 0:00,Landslide,53,83,81,15,51,69,319,4,48,35,56,0,T,Qp,Mazama pumice,volcaniclastic rocks,Quaternary,Late High Cascade Volcanics,Mazama Volcano,Mazama Ash,ashflow tuff,0,11.98078
LS_750,-122.3667141,43.24080693,8/19/08 0:00,Landslide,53,83,81,15,51,69,319,4,48,35,56,0,T,Qp,Mazama pumice,volcaniclastic rocks,Quaternary,Late High Cascade Volcanics,Mazama Volcano,Mazama Ash,ashflow tuff,0,13.72116
LS_751,-122.3650152,43.24115614,8/19/08 0:00,Landslide,53,83,81,15,51,69,319,4,48,35,56,0,T,Qp,Mazama pumice,volcaniclastic rocks,Quaternary,Late High Cascade Volcanics,Mazama Volcano,Mazama Ash,ashflow tuff,0,12.23253
LS_752,-122.3627406,43.24199968,8/19/08 0:00,Landslide,53,83,81,15,51,69,319,4,48,35,56,0,T,Qp,Mazama pumice,volcaniclastic rocks,Quaternary,Late High Cascade Volcanics,Mazama Volcano,Mazama Ash,ashflow tuff,0,11.97703
LS_753,-122.3576832,43.24264856,8/18/08 0:00,Landslide,58,73,83,22,53,73,312,7,50,39,63,0,T,Qp,Mazama pumice,volcaniclastic rocks,Quaternary,Late High Cascade Volcanics,Mazama Volcano,Mazama Ash,ashflow tuff,0,11.74214
LS_754,-122.3551832,43.24294415,8/18/08 0:00,Landslide,58,73,83,22,53,73,312,7,50,39,63,0,T,Qp,Mazama pumice,volcaniclastic rocks,Quaternary,Late High Cascade Volcanics,Mazama Volcano,Mazama Ash,ashflow tuff,0,6.75612
LS_755,-122.3526981,43.24376401,8/18/08 0:00,Landslide,58,73,83,22,53,73,312,7,50,39,63,0,T,Qp,Mazama pumice,volcaniclastic rocks,Quaternary,Late High Cascade Volcanics,Mazama Volcano,Mazama Ash,ashflow tuff,0,3.5933
LS_756,-122.3350355,43.25014373,8/18/08 0:00,Landslide,58,73,83,22,53,73,312,7,50,39,63,0,T,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,9.81892
LS_757,-122.3306309,43.25095967,8/18/08 0:00,Landslide,58,73,83,22,53,73,312,7,50,39,63,0,T,Qyba,Younger basaltic andesite,volcanic rocks,Quaternary,Late High Cascade Volcanics,Cascade Platform Lavas,No data,basaltic andesite,0,4.9719
LS_760,-122.6895096,44.85582151,12/4/06 0:00,Landslide,37,100,46,15,34,38,350,3,28,70,29,0,0,Tsat,"Sardine Formation, tuffaceous nonmarine sedimentary rocks",terrestrial sedimentary rocks,Miocene,Late Western Cascade Volcanics,No data,No data,mixed lithologies,42,13.74322
LS_761,-122.6897585,44.85469114,12/4/06 0:00,Landslide,37,100,46,15,34,38,350,3,28,70,29,0,0,Tsat,"Sardine Formation, tuffaceous nonmarine sedimentary rocks",terrestrial sedimentary rocks,Miocene,Late Western Cascade Volcanics,No data,No data,mixed lithologies,42,9.93912
LS_762,-122.476549,45.39685348,8/28/07 0:00,Landslide,55,93,86,10,51,68,268,3,47,29,49,0,0,Ttm,Troutdale Formation mudstone and siltstone,terrestrial sedimentary rocks,Miocene/Pleistocene,Willamette Group,Troutdale Formation,Sandy River Mudstone,mudstone,81,8.54331
LS_766,-122.071135,45.11103826,8/28/07 0:00,Fill Failure,51,86,86,12,47,69,23,5,40,20,52,0,0,Qls,Landslide deposits,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,81,13.41443
LS_767,-121.5556483,45.6506454,9/26/07 0:00,Debris Flow,50,82,55,0,50,,-1,0,50,82,55,0,0,Qplh,Hood River Lahar,volcaniclastic rocks,Pleistocene,Late High Cascade Volcanics,Mt. Hood Volcano,no data,mixed lithologies,43,20.3452
LS_768,-121.5558294,45.65061794,9/26/07 0:00,Fill Failure,50,82,55,0,50,,-1,0,50,82,55,0,0,Qplh,Hood River Lahar,volcaniclastic rocks,Pleistocene,Late High Cascade Volcanics,Mt. Hood Volcano,no data,mixed lithologies,42,19.35472
LS_779,-119.6218921,44.78164614,11/29/07 0:00,Landslide,32,100,37,13,30,34,254,4,27,70,32,0,0,Tjd,John Day Formation,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,felsic composition lithologies,0,19.87422
LS_780,-120.3314677,42.25483793,7/19/07 0:00,Landslide,43,76,73,15,36,57,166,6,30,20,41,0,0,Tmt,Tuffs,volcaniclastic rocks,Miocene,Neogene volcanic rocks,No data,No data,felsic composition lithologies,0,11.27809
LS_781,-120.3305277,42.25428698,7/19/07 0:00,Landslide,43,76,73,15,36,57,166,6,30,20,41,0,0,Tmt,Tuffs,volcaniclastic rocks,Miocene,Neogene volcanic rocks,No data,No data,felsic composition lithologies,0,11.57067
LS_811,-120.1759777,45.50543986,11/20/08 0:00,Fill Failure,43,100,48,23,35,37,213,5,26,63,26,0,0.04,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,42,23.05954
LS_827,-122.5730901,43.28789243,10/29/08 0:00,Landslide,49,89,67,6,47,58,175,1,45,52,49,0,0,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,25.48722
LS_829,-122.5743414,43.28772928,10/30/08 0:00,Fill Failure,52,93,63,7,47,55,1,1,44,60,47,0,0.01,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,18.19316
LS_830,-122.5760656,43.28800202,10/30/08 0:00,Fill Failure,52,93,63,7,47,55,1,1,44,60,47,0,0.01,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,17.24003
LS_832,-120.1757048,45.50471151,11/20/08 0:00,Fill Failure,43,100,48,23,35,37,213,5,26,63,26,0,0.04,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,21,29.14264
LS_868,-120.9991326,45.2583433,11/19/08 0:00,Fill Failure,43,93,53,8,39,48,92,2,35,56,42,0,0,Tgn2,Upper flow of normal magnetic polarity,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 2,basalt,41,37.66609
LS_869,-120.9996438,45.25800947,11/19/08 0:00,Fill Failure,43,93,53,8,39,48,92,2,35,56,42,0,0,Tgn2,Upper flow of normal magnetic polarity,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 2,basalt,41,24.8992
LS_870,-121.0003016,45.25748682,11/19/08 0:00,Fill Failure,43,93,53,8,39,48,92,2,35,56,42,0,0,Tgn2,Upper flow of normal magnetic polarity,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 2,basalt,41,27.262
LS_873,-120.9952812,45.25345805,11/19/08 0:00,Fill Failure,43,93,53,8,39,48,92,2,35,56,42,0,0,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,41,13.76151
LS_881,-120.6274999,44.90274051,11/19/08 0:00,Fill Failure,39,89,43,15,35,40,325,7,29,70,36,0,0,Qls,Basalt flow and unconsolidated sedmentary deposits,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,82,10.59426
LS_891,-120.5024425,44.91621971,11/19/08 0:00,Landslide,39,89,43,15,35,40,325,7,29,70,36,0,0,Qls,Basalt flow and unconsolidated sedmentary deposits,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,52,8.62785
LS_892,-120.5025618,44.91643221,11/19/08 0:00,Landslide,39,89,43,15,35,40,325,7,29,70,36,0,0,Qls,Basalt flow and unconsolidated sedmentary deposits,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,52,10.53824
LS_894,-120.4585502,44.91435709,11/19/08 0:00,Fill Failure,39,89,43,15,35,40,325,7,29,70,36,0,0,cah,Andesite of Horse Mountain,volcanic rocks,Eocene/Oligocene,John Day/Clarno Group,Clarno Formation,No data,andesite,82,8.66527
LS_895,-120.4579998,44.91449043,11/19/08 0:00,Fill Failure,39,89,43,15,35,40,325,7,29,70,36,0,0,cah,Andesite of Horse Mountain,volcanic rocks,Eocene/Oligocene,John Day/Clarno Group,Clarno Formation,No data,andesite,52,14.57898
LS_913,-122.5801504,43.28776903,10/30/08 0:00,Landslide,52,93,63,7,47,55,1,1,44,60,47,0,0.01,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,13.06076
LS_914,-122.5832471,43.28833123,10/30/08 0:00,Landslide,52,93,63,7,47,55,1,1,44,60,47,0,0.01,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,18.82895
LS_916,-122.5859109,43.28823737,10/30/08 0:00,Fill Failure,52,93,63,7,47,55,1,1,44,60,47,0,0.01,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,21.91924
LS_918,-122.5951007,43.2876658,10/30/08 0:00,Fill Failure,52,93,63,7,47,55,1,1,44,60,47,0,0.01,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,7.96992
LS_919,-122.5957425,43.28915989,10/30/08 0:00,Fill Failure,52,93,63,7,47,55,1,1,44,60,47,0,0.01,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,18.6842
LS_921,-122.5976317,43.28964471,10/30/08 0:00,Fill Failure,52,93,63,7,47,55,1,1,44,60,47,0,0.01,Tlt,Little Butte Volcanic Series; tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,tuff,0,16.55922
LS_925,-122.1302967,43.10189509,10/30/08 0:00,Fill Failure,43,71,75,26,39,61,131,6,36,27,46,0,0,Qp,Mazama pumice,volcaniclastic rocks,Quaternary,Late High Cascade Volcanics,Mazama Volcano,Mazama Ash,ashflow tuff,0,10.29569
LS_978,-119.940389,45.5765599,12/10/08 0:00,Fill Failure,33,92,60,8,31,46,216,3,30,32,32,0,0,Tf,Undifferentiated Frenchman Springs flows,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,82,12.06276
LS_1042,-122.6491304,45.33508815,5/11/09 0:00,Landslide,48,86,63,17,44,54,216,10,40,46,45,5,0.04,Qalc,Floodplain deposits of the Willamette River and major tributaries,sediments,Recent,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,42,6.45282
LS_1043,-122.6497366,45.33458032,5/11/09 0:00,Landslide,48,86,63,17,44,54,216,10,40,46,45,5,0.04,Qalc,Floodplain deposits of the Willamette River and major tributaries,sediments,Recent,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,43,5.8347
LS_1046,-121.557543,45.6506174,6/18/09 0:00,Debris Flow,54,68,64,14,54,,230,14,54,68,64,14,0,Htm,Middle terrace deposits,sediments,Recent,Quaternary surficial deposits,Terrace deposits,Middle member,mixed grained sediments,41,22.54852
LS_1047,-121.5587277,45.65058335,6/18/09 0:00,Debris Flow,54,68,64,14,54,,230,14,54,68,64,14,0,Htm,Middle terrace deposits,sediments,Recent,Quaternary surficial deposits,Terrace deposits,Middle member,mixed grained sediments,43,16.50982
LS_1048,-121.562712,45.64975841,6/18/09 0:00,Debris Flow,54,68,64,14,54,,230,14,54,68,64,14,0,Qplh,Hood River Lahar,volcaniclastic rocks,Pleistocene,Late High Cascade Volcanics,Mt. Hood Volcano,no data,mixed lithologies,41,8.70783
LS_1049,-121.5632164,45.6497153,6/18/09 0:00,Landslide,54,68,64,14,54,,230,14,54,68,64,14,0,Qplo,Oak Grove Lahar,volcaniclastic rocks,Pleistocene,Late High Cascade Volcanics,Miscellaneous Cascade Volcanics,no data,mixed lithologies,43,17.72094
